"Narrow_Group_2_Key","Narrow_Group_2","Narrow_Group_3","Narrow_Group_2_Date"
"6512bd43d9caa6e02c990b0a82652dca","11","Celtic",2024-07-09
"c20ad4d76fe97759aa27a0c99bff6710","12","English",2024-07-09
"c51ce410c124a10e0db5e4b97fc2af39","13","German and Related Languages",2024-07-09
"aab3238922bcc25a6f606eb525ffdc56","14","Dutch and Related Languages",2024-07-09
"9bf31c7ff062936a96d3c8bd1f8f2ff3","15","Scandinavian",2024-07-09
"c74d97b01eae257e44aa9d5bade97baf","16","Finnish and Related Languages",2024-07-09
"3c59dc048e8850243be8079a5c74d079","21","French",2024-07-09
"b6d767d2f8ed5d21a44b0e5886680cb9","22","Greek",2024-07-09
"37693cfc748049e45d87b8c7d8b9aacd","23","Iberian Romance",2024-07-09
"1ff1de774005f8da13f42943881c655f","24","Italian",2024-07-09
"8e296a067a37563370ded05f5a3bf3ec","25","Maltese",2024-07-09
"6ea9ab1baa0efb9e19094440c317e21b","29","Other Southern European Languages",2024-07-09
"c16a5320fa475530d9583c34fd356ef5","31","Baltic",2024-07-09
"182be0c5cdcd5072bb1864cdee4d3d6e","33","Hungarian",2024-07-09
"e369853df766fa44e1ed0ff613f563bd","34","East Slavic",2024-07-09
"1c383cd30b7c298ab50293adfecb7b18","35","South Slavic",2024-07-09
"19ca14e7ea6328a42e0eb13d585e4c22","36","West Slavic",2024-07-09
"d67d8ab4f4c10bf22aa353e27879133c","39","Other Eastern European Languages",2024-07-09
"3416a75f4cea9109507cacd8e2f2aefc","41","Iranic",2024-07-09
"a1d0c6e83f027327d8461063f4ac58a6","42","Middle Eastern Semitic Languages",2024-07-09
"17e62166fc8586dfa4d1bc0e1742c08b","43","Turkic",2024-07-09
"f457c545a9ded88f18ecee47145a72c0","49","Other Southwest and Central Asian Languages",2024-07-09
"2838023a778dfaecdc212708f721b788","51","Dravidian",2024-07-09
"9a1158154dfa42caddbd0694a4e9bdc8","52","Indo-Aryan",2024-07-09
"093f65e080a295f8076b1c5722a46aa2","59","Other Southern Asian Languages",2024-07-09
"7f39f8317fbdb1988ef4c628eba02591","61","Burmese and Related Languages",2024-07-09
"44f683a84163b3523afe57c2e008bc8c","62","Hmong-Mien",2024-07-09
"03afdbd66e7929b125f8597834fa83a4","63","Mon-Khmer",2024-07-09
"ea5d2f1c4608232e07d3aa3d998e5135","64","Tai",2024-07-09
"fc490ca45c00b1249bbe3554a4fdf6fb","65","Southeast Asian Austronesian Languages",2024-07-09
"14bfa6bb14875e45bba028a21ed38046","69","Other Southeast Asian Languages",2024-07-09
"e2c420d928d4bf8ce0ff2ec19b371514","71","Chinese",2024-07-09
"32bb90e8976aab5298d5da10fe66f21d","72","Japanese",2024-07-09
"d2ddea18f00665ce8623e36bd4e3c7c5","73","Korean",2024-07-09
"d1fe173d08e959397adf34b1d77e88d7","79","Other Eastern Asian Languages",2024-07-09
"43ec517d68b6edd3015b3edc9a11367b","81","Arnhem Land and Daly River Region Languages",2024-07-09
"9778d5d219c5080b9a6a17bef029331c","82","Yolngu Matha",2024-07-09
"fe9fc289c3ff0af142b6d3bead98a923","83","Cape York Peninsula Languages",2024-07-09
"68d30a9594728bc39aa24be94b319d21","84","Torres Strait Island Languages",2024-07-09
"3ef815416f775098fe977004015c6193","85","Northern Desert Fringe Area Languages",2024-07-09
"93db85ed909c13838ff95ccfa94cebd9","86","Arandic",2024-07-09
"c7e1249ffc03eb9ded908c236bd1996d","87","Western Desert Languages",2024-07-09
"2a38a4a9316c49e5a833517c45d31070","88","Kimberley Area Languages",2024-07-09
"7647966b7343c29048673252e490f736","89","Other Australian Indigenous Languages",2024-07-09
"54229abfcfa5649e7003b83dd4755294","91","American Languages",2024-07-09
"92cc227532d17e56e07902b254dfad10","92","African Languages",2024-07-09
"98dce83da57b0395e163467c9dae521b","93","Pacific Austronesian Languages",2024-07-09
"f4b9ec30ad9f68f89b29639786cb62ef","94","Oceanian Pidgins and Creoles",2024-07-09
"812b4ba287f5ee0bc9d43bbf5bbe87fb","95","Papua New Guinea Languages",2024-07-09
"26657d5ff9020d2abefe558796b99584","96","Invented Languages",2024-07-09
"e2ef524fbf3d9fe611d5a8e90fefdc9c","97","Sign Languages",2024-07-09
