Narrow_Group_Key,Narrow_Group,Group_Code,Narrow_Group_Date
ebb71045453f38676c40deb9864f811d,1511,Buddhism,2024-07-09
f8b932c70d0b2e6bf071729a4fa68dfc,2511,Anglican,2024-07-09
831caa1b600f852b7844499430ecac17,2512,Assyrian Apostolic,2024-07-09
84b20b1f5a0d103f5710bb67a043cd78,2513,Baptist,2024-07-09
b06f50d1f89bd8b2a0fb771c1a69c2b0,2514,Brethren,2024-07-09
415e1af7ea95f89f4e375162b21ae38c,2515,Catholic,2024-07-09
8d09e4b85c783cbc30c9b8ae175f2d33,2516,Churches of Christ,2024-07-09
c5dc3e08849bec07e33ca353de62ea04,2517,Eastern Orthodox,2024-07-09
6ef80bb237adf4b6f77d0700e1255907,2518,Jehovah's Witnesses,2024-07-09
4a1590df1d5968d41b855005bb8b67bf,2521,Latter-day Saints,2024-07-09
0d7363894acdee742caf7fe4e97c4d49,2522,Lutheran,2024-07-09
a6d259bfbfa2062843ef543e21d7ec8e,2523,Oriental Orthodox,2024-07-09
31c97cbb941d3e92d0e6f9925e9bc4d7,2524,Pentecostal,2024-07-09
9407c826d8e3c07ad37cb2d13d1cb641,2525,Presbyterian and Reformed,2024-07-09
234833147b97bb6aed53a8f4f1c7a7d8,2526,Salvation Army,2024-07-09
ba3e9b6a519cfddc560b5d53210df1bd,2527,Seventh-day Adventist,2024-07-09
6be93f7a96fed60c477d30ae1de032fd,2528,Uniting Church,2024-07-09
217c0e01c1828e7279051f1b6675745d,2531,Other Protestant,2024-07-09
9824f9c1543628a85bb51d2dd6fcf8a3,2532,Other Christian,2024-07-09
9a85c12a21b76392747906fc7b2aff92,3511,Hinduism,2024-07-09
475fbefa9ebfba9233364533aafd02a3,4511,Shia,2024-07-09
63c4b1baf3b4460fa9936b1a20919bec,4512,Sunni,2024-07-09
21c52f533c0c585bab4f075bf08d7104,4513,Other Islam,2024-07-09
3cc697419ea18cc98d525999665cb94a,5511,Judaism,2024-07-09
fc2e6a440b94f64831840137698021e1,6511,Sikhism,2024-07-09
3b777b775721dfa8d36de2a320a03e53,8511,Australian Aboriginal Traditional Religions,2024-07-09
e092aed5316b555a770029849e06a7de,8512,Baha'i,2024-07-09
a883bbca3f8bc8814ff676cb0e91829a,8513,Chinese Religions,2024-07-09
39144da5a6180c47885443c83547ec14,8514,Druse,2024-07-09
c39e1a03859f9ee215bc49131d0caf33,8515,Japanese Religions,2024-07-09
6a12d7ebc27cae44623468302c47ad74,8516,Nature Religions,2024-07-09
c0cccc24dd23ded67404f5e511c342b0,8517,Spiritualism,2024-07-09
16437d40c29a1a7b1e78143c9c38f289,8518,Miscellaneous Religions,2024-07-09
58d2f92539a5492fe6ef1e7375c6e9b6,9511,"No Religion, so described",2024-07-09
0b9b6d6d154e98ce34b3f2e4ef76eae9,9512,Secular Beliefs,2024-07-09
0373773367d222af429a7e5ab573a42d,9513,Other Spiritual Beliefs,2024-07-09
