Supplementary_Key,Supplementary_Code,Supplementary_Label,Supplementary_Date
cfcd208495d565ef66e7dff9f98764da,0,Inadequately described,2024-07-11
cfcd208495d565ef66e7dff9f98764da,0,Not Stated,2024-07-11
eb3486edab62f781179cd74d838795ee,151100,Buddhism nfd,2024-07-11
a5d4555e038c1d845402a8f4098af78b,250000,"Christianity, nfd",2024-07-11
bfb3206155832047330e55a331d6734e,251200,"Assyrian Apostolic, nfd",2024-07-11
a9448f5261f0dd114f9923fb27960f8b,251500,"Catholic, nfd",2024-07-11
0c33456cd355f111e9ced0ec1113e4ba,251600,"Churches of Christ, nfd",2024-07-11
8dd3f4e80cba006b9de11e57172e8a66,251700,"Eastern Orthodox, nfd",2024-07-11
68ccfd8b49b73ec06a5fe994f11c4c56,252100,"Latter-day Saints, nfd",2024-07-11
d5667c5c61ce1c5ec1c7cbbb29a99308,252300,"Oriental Orthodox, nfd",2024-07-11
c0f1febcc5eea210dd4f415150f447eb,252400,"Pentecostal, nfd",2024-07-11
f343c6dc3bcba05a9b23246b20f9ace1,252500,"Presbyterian and Reformed, nfd",2024-07-11
6dd1c0c6ee1039305ca304458717dbb6,253100,"Other Protestant, nfd",2024-07-11
fc09f045eb41d0ce35d1d3c0df760095,253200,"Other Christian, nfd",2024-07-11
e894e1c580aeca742f6ab938dbb64657,450000,"Islam, nfd",2024-07-11
900a5f3723c39c4146a6d3746c335445,851300,"Chinese Religions, nfd",2024-07-11
b63b121fad98f2a97a7d6e0ada0c8bc2,851500,"Japanese Religions, nfd",2024-07-11
42c3556bffac36f97dad512f5d9b3320,851600,"Nature Religions, nfd",2024-07-11
165f89ef79199214af11ff4df30b424c,950000,"Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation, nfd",2024-07-11
0de34218ed844dcbdb8e7425a730bc44,951200,"Secular Beliefs, nfd",2024-07-11
10eb6c2980f23ed1150cec2a696b7d95,951300,"Other Spiritual Beliefs, nfd",2024-07-11
