Major_Group_Key,Major_Group,Minor_Group,Major_Group_Date
c4ca4238a0b923820dcc509a6f75849b,1,OCEANIA AND ANTARCTICA,2024-07-10
c81e728d9d4c2f636f067f89cc14862c,2,NORTH-WEST EUROPE,2024-07-10
eccbc87e4b5ce2fe28308fd9f2a7baf3,3,SOUTHERN AND EASTERN EUROPE,2024-07-10
a87ff679a2f3e71d9181a67b7542122c,4,NORTH AFRICA AND THE MIDDLE EAST,2024-07-10
e4da3b7fbbce2345d7772b0674a318d5,5,SOUTH-EAST ASIA,2024-07-10
1679091c5a880faf6fb5e6087eb1b2dc,6,NORTH-EAST ASIA,2024-07-10
8f14e45fceea167a5a36dedd4bea2543,7,SOUTHERN AND CENTRAL ASIA,2024-07-10
c9f0f895fb98ab9159f51fd0297e236d,8,AMERICAS,2024-07-10
45c48cce2e2d7fbdea1afc51c7c6ad26,9,SUB-SAHARAN AFRICA,2024-07-10
