SEO_Divisions_Key,SEO_Division,SEO_Group,SEO_Divisions_Time
d3d9446802a44259755d38e6d163e820,10,ANIMAL PRODUCTION AND ANIMAL PRIMARY PRODUCTS,2024-07-09
6512bd43d9caa6e02c990b0a82652dca,11,COMMERCIAL SERVICES AND TOURISM,2024-07-09
c20ad4d76fe97759aa27a0c99bff6710,12,CONSTRUCTION,2024-07-09
c51ce410c124a10e0db5e4b97fc2af39,13,CULTURE AND SOCIETY,2024-07-09
aab3238922bcc25a6f606eb525ffdc56,14,DEFENCE,2024-07-09
9bf31c7ff062936a96d3c8bd1f8f2ff3,15,ECONOMIC FRAMEWORK,2024-07-09
c74d97b01eae257e44aa9d5bade97baf,16,EDUCATION AND TRAINING,2024-07-09
70efdf2ec9b086079795c442636b55fb,17,ENERGY,2024-07-09
6f4922f45568161a8cdf4ad2299f6d23,18,ENVIRONMENTAL MANAGEMENT,2024-07-09
1f0e3dad99908345f7439f8ffabdffc4,19,"ENVIRONMENTAL POLICY, CLIMATE CHANGE AND NATURAL HAZARDS",2024-07-09
98f13708210194c475687be6106a3b84,20,HEALTH,2024-07-09
3c59dc048e8850243be8079a5c74d079,21,INDIGENOUS,2024-07-09
b6d767d2f8ed5d21a44b0e5886680cb9,22,INFORMATION AND COMMUNICATION SERVICES,2024-07-09
37693cfc748049e45d87b8c7d8b9aacd,23,"LAW, POLITICS AND COMMUNITY SERVICES",2024-07-09
1ff1de774005f8da13f42943881c655f,24,MANUFACTURING,2024-07-09
8e296a067a37563370ded05f5a3bf3ec,25,MINERAL RESOURCES (EXCL. ENERGY RESOURCES),2024-07-09
4e732ced3463d06de0ca9a15b6153677,26,PLANT PRODUCTION AND PLANT PRIMARY PRODUCTS,2024-07-09
02e74f10e0327ad868d138f2b4fdd6f0,27,TRANSPORT,2024-07-09
33e75ff09dd601bbe69f351039152189,28,EXPANDING KNOWLEDGE,2024-07-09
